序号,物质名称,GB 标准号,日期和状态,分类,描述,标签
1,碳酸钠,GB1886.1-2021,,酸度调节剂,用于调节食品的酸碱度，常见于饮料和食品添加剂中。通常被认为安全，但长期高浓度摄入可能导致刺激性和消化不适，建议每日摄入量不超过2克。,安全
2,碳酸氢钠,GB1886.2-2015,,酸度调节剂,常用作发酵剂和膨松剂，广泛用于面包和糕点中。对大多数人群安全，但部分人群可能对其过敏，长期摄入需注意剂量，以免引起消化不适。,易过敏
3,磷酸氢钙,GB1886.3-2021,,营养强化剂,用于增强食品中的钙含量，广泛应用于乳制品和饮料中。通常被认为安全，无明显过敏性，长期摄入有助于骨骼健康，有助于预防骨质疏松。,安全
4,六偏磷酸钠,GB1886.4-2020,,稳定剂和凝固剂,用于食品保鲜和稳定，常见于饮料和肉制品中。通常安全，但过量可能引起消化不适，需注意摄入量以免影响健康。,安全
5,硝酸钠,GB1886.5-2015,,防腐剂,用于防止食品腐败，广泛用于腌制食品中。但高剂量可能导致毒性，孕妇需谨慎使用，并存在致癌风险，建议避免长期大量摄入。,有毒
6,硫酸钙,GB1886.6-2016,,营养强化剂,常用于增强食品中的钙，通常安全，无明显过敏性，长期摄入有助于骨骼健康，适合老年人和儿童补钙使用。,安全
7,焦亚硫酸钠,GB1886.7-2015,,防腐剂,用于防止食品变质，广泛用于干果和果汁中。部分人群可能对其过敏，需谨慎使用，且可能对生态有一定影响。,易过敏
8,亚硫酸钠,GB1886.8-2015,,防腐剂,用于防止食品氧化，常见于果干和饮料中。可能引起过敏反应，尤其在敏感人群中，长期使用需注意剂量，以免对健康产生影响。,易过敏
9,盐酸,GB1886.9-2016,,酸度调节剂,用于调节pH值，通常在工业用途。食用时需严格控制剂量，过量可能对健康产生影响，长期接触可能导致消化系统问题。,有毒
10,冰乙酸（又名冰醋酸）,GB1886.10-2015,,防腐剂,用于调味和防腐，浓度过高可能对皮肤和呼吸道有刺激性，长期接触需谨慎，建议在食品中使用时控制浓度。,有毒
11,亚硝酸钠,GB1886.11-2016,,防腐剂,用于防止肉类和熟食变质，能够延长保质期。然而，高剂量摄入可能会增加致癌风险，孕妇和哺乳期女性应谨慎使用，尽量避免。,有毒
12,丁基羟基茴香醚（BHA）,GB1886.12-2015,,抗氧化剂,常用于防止油脂和脂肪的氧化，能够保持食品的新鲜度。部分人群可能对其过敏，长期高浓度接触可能对生殖系统产生影响，建议定期监测。,易过敏
13,高锰酸钾,GB1886.13-2015,,消毒剂,广泛用于水处理和消毒，能够有效去除水中有害物质。然而，浓度过高可能对人体有毒性，使用需谨慎，且可能对环境造成长期影响。,有毒
14,没食子酸丙酯,GB1886.14-2015,,抗氧化剂,用于防止食品氧化，通常被认为安全，但部分人群可能对其过敏。长期接触需监测健康状况，以避免潜在风险。,易过敏
15,磷酸,GB1886.15-2015,,酸度调节剂,常用于调节食品酸度，广泛应用于饮料和调味品中。通常安全，但高浓度可能引起刺激，长期高剂量需注意以免影响健康。,安全
16,香兰素,GB1886.16-2015,,食品用香料,常用作香味添加剂，广泛应用于烘焙和糖果中。通常被认为安全，但部分人群可能过敏，长期接触需谨慎，以防引起不适。,易过敏
17,紫胶红（又名虫胶红）,GB1886.17-2015,,着色剂,用于食品着色，能够为糖果和饮料增色。通常安全，但需注意来源和成分，可能对环境造成影响，使用时应遵循相关规定。,安全
18,糖精钠,GB1886.18-2015,,甜味剂,常用于替代糖的甜味，适合糖尿病患者使用。部分人群可能对其敏感，长期高剂量可能影响健康，建议适量使用。,易过敏
19,红曲米,GB1886.19-2015,,着色剂,用于食品着色及增香，广泛应用于米制品和肉制品中。通常被认为安全，但需注意来源和成分，避免使用不合格产品。,安全
20,氢氧化钠,GB1886.20-2016,,其他,用于调节pH值，广泛应用于工业和食品加工中。食用时需谨慎，长期接触可能对健康有害，务必遵循安全标准。,有毒
21,乳酸钙,GB1886.21-2016,,营养强化剂,用于增强食品中的钙含量，常见于乳制品和保健品中。通常安全，无明显过敏性，长期摄入有助于骨骼健康，特别适合儿童和老年人。,安全
22,柠檬油,GB1886.22-2016,,食品用香料,用于增加食品的香气，广泛应用于饮料和甜品中。通常安全，但部分人群可能过敏，长期使用需监测健康，以防引发不适。,易过敏
23,小花茉莉浸膏,GB1886.23-2015,,食品用香料,用于增加食品的香气，尤其在甜品和茶饮中。通常安全，但可能引起过敏反应，长期接触需谨慎，建议适量使用。,易过敏
24,桂花浸膏,GB1886.24-2015,,食品用香料,用于增加食品香气，常见于糖果和糕点中。通常安全，部分人群可能过敏，长期使用需监测健康，避免过量。,易过敏
25,柠檬酸钠,GB1886.25-2016,,酸度调节剂,用于调节食品酸度，广泛应用于饮料和罐头食品中。通常安全，无明显过敏性，长期接触通常安全，适合大多数人群。,安全
26,石蜡,GB1886.26-2016,,其他,主要用于食品工业中的防腐，但不建议食用，可能对环境有影响，建议在使用过程中遵循相关安全标准。,有毒
27,蔗糖脂肪酸酯,GB1886.27-2015,,乳化剂,用于提高食品的稳定性，常见于乳制品和烘焙食品中。通常安全，但部分人群可能过敏，长期接触需注意剂量。,易过敏
28,D-异抗坏血酸钠,GB1886.28-2016,,抗氧化剂,用于防止食品氧化，能够延长保质期。通常安全，无明显过敏性，长期接触对健康影响较小，适合大多数人群使用。,安全
29,生姜油,GB1886.29-2015,,食品用香料,用于增加食品香气和风味，广泛应用于饮料和烘焙中。通常安全，但可能引起过敏反应，长期接触需监测，以防不适。,易过敏
30,可可壳色,GB1886.30-2015,,着色剂,用于食品着色，通常安全，主要用于巧克力和糖果中。但需注意来源和成分，避免使用劣质产品。,安全
31,对羟基苯甲酸乙酯,GB1886.31-2015,,防腐剂,用于防止食品腐败，常见于酱料和饮料中。部分人群可能对其过敏，长期接触需注意剂量，以免对健康产生影响。,易过敏
32,高粱红,GB1886.32-2015,,着色剂,用于食品着色，广泛应用于调味品和饮料中。通常安全，但需注意来源和成分，以确保其质量。,安全
33,桉叶油（蓝桉油）,GB1886.33-2015,,食品用香料,用于增加食品香气，尤其在糖果和饮料中。通常安全，但部分人群可能过敏，长期使用需监测健康，以防不适。,易过敏
34,辣椒红,GB1886.34-2015,,着色剂,用于食品着色，常见于调味品和肉制品中。通常安全，但高剂量可能刺激消化道，建议适量使用。,安全
35,山苍子油,GB1886.35-2015,,食品用香料,用于增加食品香气，常见于调味品中。通常安全，但可能引起过敏反应，长期使用需注意，以避免潜在风险。,易过敏
36,留兰香油,GB1886.36-2015,,食品用香料,用于增加食品香气，广泛应用于饮料和糕点中。通常安全，但部分人群可能过敏，长期接触需谨慎，以免引起不适。,易过敏
37,环己基氨基磺酸钠（又名甜蜜素）,GB1886.37-2015,,甜味剂,用于代糖，广泛应用于低热量食品中。通常安全，但部分人群可能敏感，长期使用需监测，以避免潜在影响。,易过敏
38,薰衣草油,GB1886.38-2015,,食品用香料,用于增加食品香气，常见于甜品和饮料中。通常安全，但可能引起过敏反应，长期接触需监测，以防不适。,易过敏
39,山梨酸钾,GB1886.39-2015,,防腐剂,用于防止食品腐败，广泛应用于酱料和冷冻食品中。通常安全，但部分人群可能过敏，长期使用需注意，以免影响健康。,安全
40,L-苹果酸,GB1886.40-2015,,酸度调节剂,用于调节食品的酸度，常见于饮料和糖果中。通常安全，无明显过敏性，适合大多数人群使用。,安全
41,黄原胶,GB1886.41-2015,,增稠剂,用于改善食品的质地和稳定性，通常安全，但部分人群可能对其敏感，长期高浓度接触需监测健康。,安全
